hp_id,time_consumed,is_sparse,ev_1,ev_2,ev_3,ev_4,ev_5,ev_6,ev_7,ev_8,ev_9,ev_10,ev_std_1,ev_std_2,ev_std_3,ev_std_4,ev_std_5,ev_std_6,ev_std_7,ev_std_8,ev_std_9,ev_std_10,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_std_2,t_std_3,t_std_4,t_std_5,t_std_6,t_std_7,t_std_8,t_std_9,t_std_10,t_std_11,vamp2_2,vamp2_3,vamp2_4,vamp2_5,vamp2_6,vamp2_7,vamp2_8,vamp2_9,vamp2_10,vamp2_11,vamp2_std_2,vamp2_std_3,vamp2_std_4,vamp2_std_5,vamp2_std_6,vamp2_std_7,vamp2_std_8,vamp2_std_9,vamp2_std_10,vamp2_std_11
1,1078.257661819458,False,0.9999999999999564,0.9999024789433402,0.9998151630402322,0.9997925626889013,0.9996093614094443,0.9994735800477205,0.9985755953969914,0.9958471279690747,0.9908984540149778,0.9894816922280353,7.401116747240514e-16,1.1539297535213738e-05,5.386083330982436e-05,5.145762713282903e-05,1.921775087030854e-05,0.00010024953456232273,4.9367919508498047e-05,0.00012145462847110237,0.0003290180195359344,0.0002682610095188661,8609.933742632344,16234.050259057765,8617.460592006353,1624.7338649594221,4354.245142423516,433.50303797698035,137.9811458425344,76.01303210808831,47.80731963850558,25.033461563629423,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998517133484202,2.9998388695067244,3.9998219470501675,4.9992056146692665,5.998574132791274,6.9956880199228335,7.986341387152872,8.965448525160552,9.941677735809943,10.905296583982102,0.00011746798720736173,0.00012711894931280614,0.00021985476901504895,0.00015891042022416995,0.0001757068395753095,0.00017579272523614973,0.00018359547098454397,0.0001936697809716014,0.0002008832323259304,0.0010910261485738708
2,991.7012264728546,False,0.999999999999977,0.9998890117626881,0.9997988678680746,0.9997900042845856,0.9994385472475126,0.9993764973646353,0.9974966110749572,0.9928989755461929,0.9839779159568851,0.9813829350339451,5.473973734569282e-16,1.2710245322377159e-05,3.922368799540525e-05,7.483884857593324e-05,4.3619045739205606e-05,6.344605613927975e-05,8.226237551118677e-05,0.00018811072875824948,0.0006018559780827739,0.0003842400205740533,79192.16030077892,85304.42957879722,91796.53881207958,24818.54984900919,22249.521727200125,2627.4672766044664,827.704382270047,508.9578788147738,241.48541736998044,179.4040981175986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998421628143515,2.9998312088592765,3.9998116908929546,4.998931632987515,5.998192501711017,6.9933176981021505,7.979220832416189,8.946582694510699,9.907537048127082,10.844865020231069,0.00010738251488910829,0.00015139411928916793,0.00023842916537277203,0.00019075116796318586,0.00022205273822853864,0.0002303265453767201,0.0002482375706633827,0.0002748344812570391,0.0002987198274381584,0.002165020463299638
3,1000.6193888187408,False,1.0000000000000064,0.9998895666871077,0.9997908678389376,0.9997720217988671,0.999431638797152,0.9993705379885068,0.9975124794536228,0.9927253500066857,0.9845416083735279,0.9803883654582478,5.851623165178149e-16,1.4977356953673856e-05,4.735332161255877e-05,5.4166972842798563e-05,4.634182660355962e-05,0.0001134883403627797,8.735468393657688e-05,0.0001937724778021903,0.000563207007168968,0.0004514988711461315,171023.6080865861,228174.15205431991,174590.29993058473,51578.53341297132,67430.49261713849,5467.544766898588,1532.9609960104174,999.1749468507547,497.657515554824,280.0130444364797,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998407200926525,2.9998291749665054,3.999790671110119,4.998920480425344,5.9981716247906345,6.993312694506544,7.97886875150156,8.946437543702295,9.906204297442917,10.843443378919785,0.0001287311445492462,0.00014437755922796754,0.00016040611296901656,0.00017773198787749344,0.00020995517930320426,0.00021987596136782497,0.00023318373240833763,0.00026234825802272756,0.00026788245014046683,0.001021430076719361
4,978.6684818267822,False,1.0000000000000187,0.9998937022858984,0.9997766468355326,0.999766070122014,0.9994479339825877,0.9993988232942664,0.997447863908059,0.9934184556897321,0.9844525111089086,0.9815527477293726,5.574381050369756e-16,1.5975274253065264e-05,5.6539953614726025e-05,6.228225891153224e-05,5.656478328700944e-05,4.0669954594949155e-05,7.507646444960503e-05,0.0001719134399973139,0.0005515817957305225,0.0004708150526542933,281156.93206102116,374140.8299472857,261190.32421848783,97069.42612804795,47252.78278294713,6609.1819981080225,2402.450735382087,1398.1420702507023,858.0205907972578,505.8474678125861,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.999853912803922,2.999838931767916,3.999818996576751,4.998984487815474,5.998224043627227,6.993296845463046,7.98000433134452,8.946836362068714,9.907393641634417,10.845692425049362,0.00014963326478326515,0.00016353306203879342,0.00025938223690946265,0.0001985902739612968,0.0002362247419128703,0.00023672253370674154,0.00026199852547733574,0.0002907599417606863,0.0003131666299992554,0.0003230406469797032
5,984.5445263385773,False,0.9999999999999635,0.9998833532958762,0.9997797712201473,0.9997532320569649,0.9994319728534437,0.999365580878907,0.9974655310592629,0.9929009563354946,0.9839707100087215,0.9808909419854619,5.441225583365948e-16,1.5425096039482562e-05,4.414602000258445e-05,8.504583078477321e-05,2.9429761423707257e-05,7.784830421156099e-05,7.506897682424167e-05,0.00019565732604977668,0.0005889681527316951,0.00041346576006545845,330730.5558089852,288341.14686050033,284066.3512516365,52994.75874688259,93870.73282956907,8889.504243820185,3161.619449650873,1889.631031584153,913.8738667453835,644.1272125997865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998397019348297,2.9998267352511867,3.9998065485569874,4.9989180024396624,5.998165237561652,6.993243691720842,7.979037565833001,8.945926998001593,9.905920662542275,10.843481980540094,9.408293074892612e-05,0.00014683678094495162,0.0002477592914086771,0.00021261946500820262,0.00020390817484737411,0.00021165479072070503,0.0002417241060463449,0.0002611675866509432,0.00026083415964796514,0.00284804638782469
6,975.597074508667,False,0.999999999999977,0.9998847191573021,0.9997850746759419,0.999748314994736,0.9994250509769277,0.9993577843929444,0.9975067207058619,0.9930641677487329,0.983981878786265,0.9807114625299854,4.531559934397256e-16,1.405423977868284e-05,4.6038239577071915e-05,7.217225266346693e-05,4.545792986351288e-05,7.665952873503313e-05,9.061749961761513e-05,0.0001836259701752648,0.0006426418492642271,0.00043481073986096795,385865.4342142259,388464.5774561175,321106.1585660052,110810.92888098733,124802.16074796287,13316.374878107423,3934.9516280003813,2606.4002413376243,1189.202980312084,553.2879425368047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998385596284622,2.9998271709375763,3.9998067745334285,4.998907512950544,5.998156629341356,6.993334489910894,7.9792379401502895,8.94618985819358,9.905972302604908,10.837399227370826,0.00011667913386714076,0.00015775801623336207,0.00029261474420289333,0.00021777490001248168,0.00025341974186921223,0.00026708430719164447,0.00028378165703889046,0.00030755065040210687,0.0003092873822816054,0.0023259908321082152
7,1073.883160829544,False,0.9999999999999692,0.9999068890927219,0.9997731203096252,0.9997553478481804,0.999429284740153,0.9993324539835712,0.9974961677957757,0.9929782050040654,0.9831922261325771,0.9812763272097607,5.837915406707819e-16,1.419494419790688e-05,4.565621200195316e-05,7.204275276782376e-05,2.803868551427685e-05,0.00011152408988592124,8.872861024867221e-05,0.00017040656659758348,0.0005855971387878281,0.0004036129568580669,597767.3895194647,522450.8404258757,489516.11584347574,78746.50747068367,185454.30840430318,16157.876514628333,4194.169234231121,2523.5696033178524,1396.4613758506794,775.149688317416,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998820979083167,2.9998689561862384,3.9998290742983307,4.998940073908739,5.998154083608197,6.993345461321185,7.979115681810999,8.944350583013298,9.905010042565413,10.842342895588418,0.00015120627872843546,0.000181694485247224,0.00017598233760710545,0.00019013220552036928,0.00024098729863449004,0.00024863168426029954,0.0002606128237606579,0.0002911865376001191,0.00031028518635144495,0.0028757175736654076
8,967.878956079483,False,0.9999999999999902,0.9998834153255085,0.9997627221778743,0.9997534287652459,0.9994147459938039,0.9993393211178055,0.997498907356123,0.9933671764190216,0.9838016792801394,0.981561703112706,5.453670444495244e-16,1.2078951432126452e-05,5.762365993968011e-05,8.82212367525701e-05,5.2265870223336474e-05,8.381144919425489e-05,8.60073950879698e-05,0.00018400053160966105,0.0006383367476026062,0.0004525082366836796,459714.77011461003,779671.5927790289,717723.8779373365,186409.32093580323,168246.32761535532,18237.69608092864,5867.238222533337,3477.266532892493,1887.8345589049957,911.0747450610351,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998361289500117,2.9998213871336965,3.9998006181917116,4.99888279563023,5.998125365620434,6.993231056484559,7.979219813755509,8.946070258113975,9.906982768873332,10.84375079830443,0.00011520513781530731,0.00015698773704470932,0.0002393787813676465,0.0002327861140182603,0.00023455079333443472,0.0002455153630605595,0.00025943748880068613,0.00027249906910051263,0.0002847013740628335,0.0028781683280285617
9,1051.1437530517578,False,0.9999999999999821,0.9999040656075452,0.9997576115449223,0.9997344016919709,0.9994284501675452,0.999352833302394,0.9974965625816314,0.9934190510095445,0.98317924856086,0.9816634295090542,6.551256644696548e-16,1.4173555015759419e-05,7.165170219086155e-05,7.02307487502558e-05,5.750747755097914e-05,7.727666328422265e-05,8.879678574404792e-05,0.000204109851504293,0.0005627363020570831,0.00048453088656806646,711749.5032270784,1253057.3380283725,599737.3078312188,258253.24265529067,186405.32207864602,20980.185582913153,7491.76003466665,3197.2730157669916,2331.0375760836137,1165.9680888034532,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998804037522933,2.999860017514888,3.9998194795166557,4.998931466573966,5.998137592023652,6.99327729809146,7.979324461405926,8.945306199149758,9.906467462107221,10.84349762148627,0.00018214639309645496,0.0001736390004975013,0.00019895203588228829,0.00020203836427067678,0.0002141825950317943,0.00022002247838306127,0.0002523107889194435,0.0002775698455606194,0.00028778783819150336,0.0031524168896259154
10,977.9666333198547,False,0.9999999999999702,0.9998803967131719,0.9997641435523223,0.9997516681348585,0.9994279777641139,0.999329054331913,0.9975049291385418,0.9933195172931794,0.9845338562364041,0.9812661109030937,5.398013494481199e-16,1.3981845784018856e-05,6.152370324460377e-05,7.096774358799826e-05,2.7564331659072648e-05,9.906826351053815e-05,9.146850581197715e-05,0.00016879828515364864,0.0006004483309109143,0.00040359523590221186,623583.9853865049,1060386.3907213164,731967.6115076344,111375.0518029418,250080.03116875613,24100.43900389727,6920.726948557084,4495.689875907954,2079.1870981398783,1319.005202270106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998334246573548,2.999818985909363,3.9997977316821887,4.998910425398295,5.998147968301227,6.993207503380139,7.979446545228389,8.947164673241186,9.907651795790414,10.845163195640056,0.00013251528733907838,0.00015463770273731146,0.00018861919006823953,0.0001981560250819548,0.0002166950942607835,0.00021692550129674687,0.0002510317414772924,0.0002696861197077394,0.00028367082213289505,0.0017361163945971234
